Device_ID,date,has_cyber,op_label_top,max_op_score,risk_mean,cvss,epss,dvd,rec_action
D034,2025-03-01,0,normal,1.0,0.318,5.3,0.13,0.47,MONITOR
D035,2025-01-01,1,normal,1.0,0.62,7.3,0.77,0.08,MONITOR
D035,2025-02-01,1,normal,1.0,0.62,7.3,0.77,0.08,MONITOR
D035,2025-03-01,1,normal,1.0,0.62,7.3,0.77,0.08,MONITOR
D036,2025-01-01,0,normal,1.0,0.10099999999999999,0.9,0.12,0.07,MONITOR
D036,2025-02-01,0,normal,1.0,0.10099999999999999,0.9,0.12,0.07,MONITOR
D036,2025-03-01,0,normal,0.9706735482289813,0.10099999999999999,0.9,0.12,0.07,MONITOR
D037,2025-01-01,1,normal,1.0,0.45999999999999996,1.3,0.61,0.58,MONITOR
D037,2025-02-01,1,normal,1.0,0.45999999999999996,1.3,0.61,0.58,MONITOR
D037,2025-03-01,0,normal,1.0,0.45999999999999996,1.3,0.61,0.58,MONITOR
D038,2025-01-01,0,normal,1.0,0.39699999999999996,4.8,0.39,0.29,MONITOR
D038,2025-02-01,0,normal,1.0,0.39699999999999996,4.8,0.39,0.29,MONITOR
D038,2025-03-01,0,normal,1.0,0.39699999999999996,4.8,0.39,0.29,MONITOR
D039,2025-01-01,1,normal,1.0,0.23299999999999998,2.3,0.14,0.47,MONITOR
D039,2025-02-01,0,normal,1.0,0.23299999999999998,2.3,0.14,0.47,MONITOR
D039,2025-03-01,0,normal,1.0,0.23299999999999998,2.3,0.14,0.47,MONITOR
D040,2025-01-01,0,normal,0.0,0.42600000000000005,6.7,0.43,0.05,MONITOR
D040,2025-02-01,1,normal,1.0,0.42600000000000005,6.7,0.43,0.05,MONITOR
D040,2025-03-01,0,normal,1.0,0.42600000000000005,6.7,0.43,0.05,MONITOR
D041,2025-01-01,0,normal,1.0,0.255,4.4,0.13,0.29,MONITOR
D041,2025-02-01,0,normal,1.0,0.255,4.4,0.13,0.29,MONITOR
D041,2025-03-01,0,normal,1.0,0.255,4.4,0.13,0.29,MONITOR
D042,2025-01-01,1,normal,1.0,0.6020000000000001,8.3,0.59,0.29,MONITOR
D042,2025-02-01,1,normal,1.0,0.6020000000000001,8.3,0.59,0.29,MONITOR
D042,2025-03-01,1,normal,1.0,0.6020000000000001,8.3,0.59,0.29,MONITOR
D043,2025-01-01,1,normal,1.0,0.512,7.0,0.38,0.56,MONITOR
D043,2025-02-01,1,normal,1.0,0.512,7.0,0.38,0.56,MONITOR
D043,2025-03-01,0,normal,1.0,0.512,7.0,0.38,0.56,MONITOR
D044,2025-01-01,1,normal,1.0,0.321,3.1,0.32,0.34,MONITOR
D044,2025-02-01,1,normal,1.0,0.321,3.1,0.32,0.34,MONITOR
D044,2025-03-01,0,normal,1.0,0.321,3.1,0.32,0.34,MONITOR
D045,2025-01-01,1,normal,1.0,0.435,8.3,0.26,0.28,MONITOR
D045,2025-02-01,1,normal,1.0,0.435,8.3,0.26,0.28,MONITOR
D045,2025-03-01,0,normal,1.0,0.435,8.3,0.26,0.28,MONITOR
D046,2025-01-01,1,normal,1.0,0.542,8.0,0.54,0.16,MONITOR
D046,2025-02-01,1,normal,1.0,0.542,8.0,0.54,0.16,MONITOR
D046,2025-03-01,1,normal,1.0,0.542,8.0,0.54,0.16,MONITOR
D047,2025-01-01,0,normal,1.0,0.31200000000000006,3.9,0.31,0.2,MONITOR
D047,2025-02-01,0,normal,1.0,0.31200000000000006,3.9,0.31,0.2,MONITOR
D047,2025-03-01,1,normal,1.0,0.31200000000000006,3.9,0.31,0.2,MONITOR
D048,2025-01-01,0,normal,1.0,0.184,2.9,0.07,0.31,MONITOR
D048,2025-02-01,0,normal,1.0,0.184,2.9,0.07,0.31,MONITOR
D048,2025-03-01,0,normal,1.0,0.184,2.9,0.07,0.31,MONITOR
D049,2025-01-01,1,normal,1.0,0.306,6.8,0.1,0.26,MONITOR
D049,2025-02-01,1,normal,1.0,0.306,6.8,0.1,0.26,MONITOR
D049,2025-03-01,1,normal,1.0,0.306,6.8,0.1,0.26,MONITOR
D050,2025-01-01,1,normal,1.0,0.45399999999999996,1.4,0.82,0.01,MONITOR
D050,2025-02-01,1,normal,1.0,0.45399999999999996,1.4,0.82,0.01,MONITOR
D050,2025-03-01,0,normal,1.0,0.45399999999999996,1.4,0.82,0.01,MONITOR
